dataset,earliness_factor,entropy_factor,accuracy,earliness
Coffee,0.7,0.1,0.5,0.0
FaceAll,0.9,0.0,0.9857142857142858,1.0
SonyAIBORobotSurface2,0.7,0.1,0.9629629629629629,0.4791666567325592
UWaveGestureLibraryY,0.9,0.0,0.7622767857142857,1.0
OSULeaf,0.7,0.0,0.96,1.0
Yoga,0.9,0.0,0.8333333333333334,0.4620862305164337
CricketY,0.8,0.1,0.9384615384615385,0.6118600368499756
ECG200,0.6,0.01,0.91,0.20547367632389069
Yoga,0.7,0.1,0.7966666666666666,0.40339604020118713
CricketZ,0.8,0.1,0.941025641025641,0.6020323634147644
CBF,0.6,0.0,0.4,0.0
Haptics,0.7,0.1,0.7096774193548387,0.4064575135707855
FacesUCR,0.9,0.1,0.985,0.5931922793388367
MedicalImages,0.6,0.0,0.5328083989501312,0.0
UWaveGestureLibraryX,0.7,0.01,0.7779017857142857,0.5013719797134399
Lightning7,0.9,0.1,0.2571428571428571,0.0
CBF,0.9,0.01,0.9666666666666667,1.0
Beef,0.8,0.0,0.8,1.0
Lightning7,0.7,0.01,0.2714285714285714,0.0
Lightning2,0.7,0.0,0.6666666666666666,0.0
FaceFour,0.6,0.0,1.0,1.0
ECGFiveDays,0.6,0.1,0.8260869565217391,0.1542673259973526
Lightning7,0.9,0.0,0.6428571428571429,0.9999998807907104
CricketZ,0.7,0.1,0.9025641025641026,0.5516250133514404
Trace,0.9,0.0,1.0,1.0
OliveOil,0.9,0.01,0.43333333333333335,0.0
ECGFiveDays,0.6,0.0,0.7391304347826086,0.06763283908367157
SwedishLeaf,0.6,0.0,0.774,0.328000009059906
CinCECGTorso,0.6,0.0,0.6,0.0833485946059227
SwedishLeaf,0.8,0.01,0.87,0.5132598280906677
OliveOil,0.7,0.01,0.43333333333333335,0.0
CricketY,0.6,0.01,0.8974358974358975,0.43931907415390015
SyntheticControl,0.7,0.01,0.9266666666666666,0.2683615982532501
FacesUCR,0.6,0.0,0.96,0.29161539673805237
TwoLeadECG,0.7,0.1,0.9565217391304348,0.4240472614765167
Beef,0.7,0.01,0.7333333333333333,0.3079602122306824
Wafer,0.7,0.0,0.903,4.6357617975445464e-05
Lightning2,0.7,0.1,0.8166666666666667,0.37416142225265503
CricketY,0.6,0.1,0.8641025641025641,0.49931395053863525
Lightning7,0.6,0.1,0.2714285714285714,0.0
CBF,0.7,0.01,1.0,0.2540682256221771
Mallat,0.8,0.1,0.8363636363636363,0.4613169729709625
FiftyWords,0.6,0.0,0.051111111111111114,0.0
GunPoint,0.6,0.1,0.88,0.4053691625595093
UWaveGestureLibraryY,0.7,0.1,0.6595982142857143,0.5318009257316589
MedicalImages,0.6,0.0,0.5301837270341208,0.0
CricketX,0.7,0.01,0.9153846153846154,0.5056598782539368
Wafer,0.7,0.01,0.968,0.14152981340885162
TwoLeadECG,0.9,0.0,1.0,1.0
Trace,0.7,0.0,0.77,0.22875910997390747
CinCECGTorso,0.8,0.0,1.0,1.0
FiftyWords,0.9,0.1,0.1111111111111111,0.0
ECG200,0.6,0.1,0.92,0.2904210686683655
ECG200,0.8,0.0,0.97,0.2791579067707062
